branch,day,awareness,purchase_probability,brand_trust_probability,complaint_probability,churn_probability,recommend_probability,snapshot_hash
control,0,0.08000000000000002,0.7924789469767182,0.7723061953337977,0.008952303169935444,0.00688938420707445,0.6624489201794979,5c5dfd6b4611545880f2b2740a706f1173359db428ef08570de90c0cc3aa02be
control,1,0.09668407939268599,0.7924604481942811,0.7722938628121729,0.010815903313043993,0.008326612466858058,0.6624489201794979,1258533f34d3268a2fdfb3eb273589e3d739882a399ddcd737e078391a0d128c
control,2,0.11365484567582107,0.7924384663675251,0.7722792082610023,0.012709349164201498,0.009788613636943968,0.6624489201794979,b2c85ffa5a3d5e4cac5422adec88406c26551309a9d9717c4ee429f7f48ce592
control,3,0.13089409612883196,0.7924130779813178,0.7722622826701974,0.01463015249451567,0.011273817001353728,0.6624489201794979,f80938fd7d4d3ca5f8af439b670066194aa25a3fb368a8ea980078ac55afdccf
control,4,0.14838212170404325,0.7923843833757275,0.7722431529331373,0.016575656963344388,0.012780521433203348,0.6624489201794979,a0a730452cc6bfbab3373c1788ad0ded4d4f34ab10d2fc83d37fde637ef0503a
control,5,0.16609778435868824,0.7923525051609267,0.7722219007899367,0.018543052007705466,0.014306902073614227,0.6624489201794979,bab48e057f93f0bf3e196935373096c51f16acfbaa979f435f5a79d4bf9e9687
control,6,0.184018611503656,0.7923175898315314,0.7721986239036731,0.02052938894577619,0.015851018495704944,0.6624489201794979,8ce763a30cdd65ba621986b5eb9deb79c90e4ed790db1e784364eaa88c607423
control,7,0.20212090687276782,0.7922798027978014,0.772173432547853,0.022531599130001703,0.017410824293569917,0.6624489201794979,ae583734d2f45a1823841e6add0d529360fdae49a9579f67360c3f6611675b5b
control,8,0.22037987676607013,0.7922393275313592,0.7721464490368917,0.024546513927619775,0.018984178005691726,0.6624489201794979,c5b35ad25cd8c2449a60bb024274e1d1e06328c6a525cd379f92e836d0a580de
control,9,0.23876977028200772,0.7921963634011393,0.7721178062834118,0.026570886251591576,0.02056885525278196,0.6624489201794979,58c72b7230f86ffbb0fe1d8fd7225813ccca6f689c6a6020aa0ac2e3047d124b
control,10,0.25726403183806423,0.7921511216414155,0.7720876451102625,0.028601413315686976,0.022162561942617665,0.6624489201794979,62dcf4defd972f49e0f293be9f182d9c37cb1f23c2a4ba4a8a14b1e7de80224d
