branch_id,candidate_id,day,first_occurrence_probability,cumulative_probability
control,demand_downturn,1,0.02734375,0.02734375
control,demand_downturn,2,0.0263671875,0.0537109375
control,demand_downturn,3,0.0302734375,0.083984375
control,demand_downturn,4,0.02197265625,0.10595703125
control,demand_downturn,5,0.02197265625,0.1279296875
control,demand_downturn,6,0.02734375,0.1552734375
control,demand_downturn,7,0.02001953125,0.17529296875
control,demand_downturn,8,0.02197265625,0.197265625
control,demand_downturn,9,0.015625,0.212890625
control,demand_downturn,10,0.01806640625,0.23095703125
control,demand_downturn,11,0.01953125,0.25048828125
control,demand_downturn,12,0.01806640625,0.2685546875
control,demand_downturn,13,0.01318359375,0.28173828125
control,demand_downturn,14,0.01904296875,0.30078125
control,demand_downturn,15,0.013671875,0.314453125
control,demand_downturn,16,0.01611328125,0.33056640625
control,demand_downturn,17,0.0107421875,0.34130859375
control,demand_downturn,18,0.01123046875,0.3525390625
control,demand_downturn,19,0.01171875,0.3642578125
control,demand_downturn,20,0.0107421875,0.375
control,demand_downturn,21,0.01220703125,0.38720703125
control,demand_downturn,22,0.01953125,0.40673828125
control,demand_downturn,23,0.009765625,0.41650390625
control,demand_downturn,24,0.013671875,0.43017578125
control,demand_downturn,25,0.0107421875,0.44091796875
control,demand_downturn,26,0.01318359375,0.4541015625
control,demand_downturn,27,0.0087890625,0.462890625
control,demand_downturn,28,0.00927734375,0.47216796875
control,demand_downturn,29,0.0078125,0.47998046875
control,demand_downturn,30,0.0068359375,0.48681640625
control,demand_downturn,31,0.01123046875,0.498046875
control,demand_downturn,32,0.00537109375,0.50341796875
control,demand_downturn,33,0.0078125,0.51123046875
control,demand_downturn,34,0.005859375,0.51708984375
control,demand_downturn,35,0.00634765625,0.5234375
control,demand_downturn,36,0.0,0.5234375
control,demand_downturn,37,0.0,0.5234375
control,demand_downturn,38,0.0,0.5234375
control,demand_downturn,39,0.0,0.5234375
control,demand_downturn,40,0.0,0.5234375
control,demand_downturn,41,0.0,0.5234375
control,demand_downturn,42,0.0,0.5234375
control,demand_downturn,43,0.0,0.5234375
control,demand_downturn,44,0.0,0.5234375
control,demand_downturn,45,0.0,0.5234375
control,production_adjustment,1,0.0,0.0
control,production_adjustment,2,0.00732421875,0.00732421875
control,production_adjustment,3,0.0068359375,0.01416015625
control,production_adjustment,4,0.01123046875,0.025390625
control,production_adjustment,5,0.01171875,0.037109375
control,production_adjustment,6,0.00927734375,0.04638671875
control,production_adjustment,7,0.0146484375,0.06103515625
control,production_adjustment,8,0.01513671875,0.076171875
control,production_adjustment,9,0.01220703125,0.08837890625
control,production_adjustment,10,0.01220703125,0.1005859375
control,production_adjustment,11,0.0166015625,0.1171875
control,production_adjustment,12,0.01611328125,0.13330078125
control,production_adjustment,13,0.0205078125,0.15380859375
control,production_adjustment,14,0.01123046875,0.1650390625
control,production_adjustment,15,0.0126953125,0.177734375
control,production_adjustment,16,0.0107421875,0.1884765625
control,production_adjustment,17,0.00927734375,0.19775390625
control,production_adjustment,18,0.013671875,0.21142578125
control,production_adjustment,19,0.0107421875,0.22216796875
control,production_adjustment,20,0.01318359375,0.2353515625
control,production_adjustment,21,0.0107421875,0.24609375
control,production_adjustment,22,0.01220703125,0.25830078125
control,production_adjustment,23,0.0107421875,0.26904296875
control,production_adjustment,24,0.015625,0.28466796875
control,production_adjustment,25,0.0087890625,0.29345703125
control,production_adjustment,26,0.0146484375,0.30810546875
control,production_adjustment,27,0.0107421875,0.31884765625
control,production_adjustment,28,0.01171875,0.33056640625
control,production_adjustment,29,0.01220703125,0.3427734375
control,production_adjustment,30,0.009765625,0.3525390625
control,production_adjustment,31,0.01171875,0.3642578125
control,production_adjustment,32,0.01171875,0.3759765625
control,production_adjustment,33,0.009765625,0.3857421875
control,production_adjustment,34,0.0107421875,0.396484375
control,production_adjustment,35,0.0068359375,0.4033203125
control,production_adjustment,36,0.00830078125,0.41162109375
control,production_adjustment,37,0.00830078125,0.419921875
control,production_adjustment,38,0.00830078125,0.42822265625
