branch_id,day,metric,p10,p50,p90,mean,standard_deviation
control,0,life_satisfaction,0.512771605915856,0.512771605915856,0.512771605915856,0.512771605915856,0.0
control,0,government_trust,0.667750666160951,0.667750666160951,0.667750666160951,0.667750666160951,0.0
control,0,economic_confidence,0.5766229604929898,0.5769166925020115,0.5772104245110332,0.5769166925020115,0.0003671650112771485
control,0,consumption_index,0.6666851520494701,0.6667839813680596,0.6668828106866492,0.6667839813680596,0.00012353664823688826
control,0,employment_rate,0.9319559301481805,0.9319559301481805,0.9319559301481805,0.9319559301481805,0.0
control,0,congestion_index,0.8,0.8,0.8,0.8,0.0
control,0,health_system_load,0.65,0.65,0.65,0.65,0.0
control,0,rumor_belief,0.13766604025310025,0.13924299994261163,0.14081995963212302,0.13924299994261163,0.0019711996118892405
control,0,stress,0.3827986362740605,0.3829679450496214,0.38313725382518227,0.3829679450496214,0.00021163596945106278
control,0,commute_minutes,23.489245404099368,23.489245404099368,23.489245404099368,23.489245404099368,0.0
control,0,organization_vitality,0.8201110789333432,0.8201343211629898,0.8201575633926363,0.8201343211629898,2.9052787058225782e-05
control,0,public_service_reliability,0.8403058798820079,0.8403278057236474,0.840349731565287,0.8403278057236474,2.7407302049475835e-05
control,0,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,1,life_satisfaction,0.4819242832597969,0.4819297475418516,0.4819352118239062,0.4819297475418516,6.830352568293341e-06
control,1,government_trust,0.6432940965163495,0.6433428077871959,0.6433915190580424,0.6433428077871959,6.088908855800268e-05
control,1,economic_confidence,0.5580029722246735,0.5582790918130653,0.5585552114014571,0.5582790918130653,0.00034514948548980406
control,1,consumption_index,0.5972233602286835,0.5973422869158641,0.5974612136030447,0.5973422869158641,0.00014865835897570623
control,1,employment_rate,0.9319675903800216,0.9319680052494631,0.9319684201189046,0.9319680052494631,5.185868018342532e-07
control,1,congestion_index,0.7571546123959786,0.757973582874184,0.7587925533523894,0.757973582874184,0.0010237130977567843
control,1,health_system_load,0.6803958598816252,0.6811975977875098,0.6819993356933944,0.6811975977875098,0.001002172382355726
control,1,rumor_belief,0.10912538653536819,0.11040232301197764,0.11167925948858709,0.11040232301197764,0.0015961705957618158
control,1,stress,0.4026903437983491,0.4027826255457191,0.40287490729308906,0.4027826255457191,0.00011535218421246385
control,1,commute_minutes,24.5975578343892,24.603301951074783,24.609046067760367,24.603301951074783,0.0071801458569797924
control,1,organization_vitality,0.8199044141973426,0.8199262618932104,0.8199481095890783,0.8199262618932104,2.730961983471447e-05
control,1,public_service_reliability,0.8394997031909821,0.8395257461755858,0.8395517891601896,0.8395257461755858,3.255373075472523e-05
control,1,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,2,life_satisfaction,0.4511044275993659,0.4511113472350955,0.45111826687082507,0.4511113472350955,8.64954466195389e-06
